label,concentration,asymmetry,smoothness,gini,m20
elliptical,1.0898416590103788,0.834948,0.5791905,0.7063567,-0.7368167348576602
elliptical,1.1466371470205723,0.82644624,0.58149964,0.71587366,-0.7166359747525832
elliptical,1.0462992301296226,0.82305115,0.5773004,0.70823234,-0.7334374448102772
elliptical,1.085219211390701,0.8127235,0.5783074,0.698309,-0.6930662626320556
elliptical,1.0537302170309104,0.81559557,0.5689083,0.7061174,-0.7241640835133032
elliptical,1.0997906541517275,0.81271756,0.5825818,0.7094649,-0.7114910239844016
elliptical,1.1579018132412255,0.8006532,0.5645598,0.7112355,-0.8081047733531449
elliptical,1.0750573925212292,0.8161161,0.5740287,0.7008754,-0.7480605972263641
elliptical,1.0580221031873336,0.8175239,0.5709208,0.7121404,-0.6991606432689926
elliptical,1.1497023124626913,0.829313,0.57942206,0.69914216,-0.681198293669629
elliptical,1.1170978156218019,0.8310774,0.5783646,0.6986811,-0.752077921777305
elliptical,1.1336252922353571,0.7940295,0.5585965,0.7007239,-0.7496340229916442
elliptical,1.0795599876081694,0.8365067,0.57868797,0.7151232,-0.687248916061865
elliptical,1.1119470053257037,0.83071697,0.57409465,0.70955265,-0.7083848711084165
elliptical,1.1364233222368982,0.8376315,0.589755,0.7150403,-0.7333805713689429
elliptical,1.174099555133093,0.80571616,0.5776743,0.7115724,-0.7262926792084446
elliptical,1.1263612838864494,0.8156202,0.5799679,0.6933979,-0.7170980378145678
elliptical,1.1383825271851575,0.8312758,0.57758605,0.70725304,-0.7262809448753973
elliptical,1.0755260313294426,0.8222986,0.57244915,0.69733906,-0.7663388249488963
elliptical,1.1684065383432585,0.8139461,0.5720674,0.70007503,-0.7389885648342442
elliptical,1.119036663995999,0.83587736,0.58320004,0.7133733,-0.7347196395763067
elliptical,1.0888405638774388,0.8183642,0.5703503,0.70562077,-0.7170333962241608
elliptical,1.0963379944365153,0.8139315,0.57915735,0.7037442,-0.7591802435156364
elliptical,1.1605669457633288,0.79307085,0.57581,0.7026908,-0.7640066457192104
elliptical,1.094977118368355,0.81443375,0.57381254,0.7010616,-0.7590880332598058
elliptical,1.1232182540850895,0.81126773,0.57213545,0.69053376,-0.7326042878359746
elliptical,1.0528125779699868,0.8284555,0.5822302,0.70805156,-0.7245829681170609
elliptical,1.1079364996202261,0.81057745,0.5765643,0.7034691,-0.6828639682474031
